provider,category,open_source,gh_stars,gh_forks,used_by,funding_note,notable_customers,hosting_model,primary_sources
LangChain,Agent framework,Yes,130000,21500,278000,"Series B (Oct 20, 2025)",,"https://github.com/langchain-ai/langchain;https://blog.langchain.com/series-b/"
LlamaIndex,RAG/document framework,Yes,47800,7100,23700,"Series A $19M (Mar 4, 2025)",,"https://github.com/run-llama/llama_index;https://www.llamaindex.ai/blog/announcing-our-series-a-and-llamacloud-general-availability"
Langfuse,Observability,Yes,23500,2400,,"Seed $4M (Nov 7, 2023)",,"https://github.com/langfuse/langfuse;https://langfuse.com/blog/announcing-our-seed-round"
LangSmith,Observability,No,,,,"LangChain commercial observability product (LangSmith)",,"https://www.langchain.com/langsmith/observability"
OpenAI Evals,Eval framework,Yes,18000,2900,,"Integrated into OpenAI platform (maintained by OpenAI)",,"https://github.com/openai/evals;https://platform.openai.com/docs/guides/evals"
Promptfoo,Eval & red-teaming,Yes,19100,1500,,"Open-source project (announced partnership/joined OpenAI)",,"https://github.com/promptfoo/promptfoo;https://www.promptfoo.dev"
Pinecone,Vector DB,No,,,,"Multiple funding rounds; a16z investor referenced in press","Vanguard, Gong","Managed SaaS, dedicated clusters (BYOC)","https://www.pinecone.io/customers/vanguard/"
Chroma,Vector store,Yes,26700,2100,,"OSS with Chroma Cloud hosted offering",,"https://github.com/chroma-core/chroma;https://trychroma.com"
Milvus,Vector DB,Yes,43400,3900,,"OSS (Zilliz Cloud managed offering)",,"https://github.com/milvus-io/milvus;https://milvus.io"
Weights & Biases,Experiment tracking,No,,,,"Enterprise SaaS; acquisition by CoreWeave reported","Various enterprise customers","SaaS / Enterprise","https://wandb.ai/;https://coreweave.com/blog/coreweave-completes-acquisition-of-weights-biases"
